week,retailer,sku,actual_demand,planned_production,forecast_error_pct,is_promo,is_anomaly,anomaly_type,waste_units,waste_rate_pct
2022-01-03,Loblaws,Bath Tissue 12pk,4555,4686,2.87,False,False,,3,3.0
2022-01-03,Loblaws,Bath Tissue 24pk,8778,9384,6.91,False,False,,18,2.5
2022-01-03,Loblaws,Paper Towel 6pk,3791,3612,-4.73,False,False,,6,3.5000000000000004
2022-01-03,Loblaws,Facial Tissue 3pk,2172,2062,-5.06,False,False,,4,4.0
2022-01-03,Walmart CA,Bath Tissue 12pk,6486,5237,-19.26,False,False,,33,3.0
2022-01-03,Walmart CA,Bath Tissue 24pk,10499,10604,1.0,False,False,,2,2.5
2022-01-03,Walmart CA,Paper Towel 6pk,8519,8295,-2.63,True,False,,8,3.5000000000000004
2022-01-03,Walmart CA,Facial Tissue 3pk,5224,4650,-10.99,True,False,,23,4.0
2022-01-03,Costco CA,Bath Tissue 12pk,8479,9152,7.94,False,False,,17,3.0
2022-01-03,Costco CA,Bath Tissue 24pk,13253,12894,-2.71,False,False,,8,2.5
2022-01-03,Costco CA,Paper Towel 6pk,6051,5571,-7.93,False,False,,14,3.5000000000000004
2022-01-03,Costco CA,Facial Tissue 3pk,7793,8222,5.51,False,True,demand_surge,19,4.0
2022-01-03,Metro,Bath Tissue 12pk,2591,2631,1.56,False,False,,1,3.0
2022-01-03,Metro,Bath Tissue 24pk,3704,3667,-1.01,False,False,,1,2.5
2022-01-03,Metro,Paper Towel 6pk,1758,1859,5.74,False,False,,3,3.5000000000000004
2022-01-03,Metro,Facial Tissue 3pk,1275,1359,6.63,False,False,,3,4.0
2022-01-03,Sobeys,Bath Tissue 12pk,4642,4239,-8.69,True,False,,14,3.0
2022-01-03,Sobeys,Bath Tissue 24pk,5507,5795,5.23,False,False,,8,2.5
2022-01-03,Sobeys,Paper Towel 6pk,2724,2926,7.41,False,False,,7,3.5000000000000004
2022-01-03,Sobeys,Facial Tissue 3pk,1518,1387,-8.6,False,False,,5,4.0
2022-01-10,Loblaws,Bath Tissue 12pk,4685,4533,-3.24,False,False,,5,3.0
2022-01-10,Loblaws,Bath Tissue 24pk,7177,6519,-9.17,False,False,,17,2.5
2022-01-10,Loblaws,Paper Towel 6pk,3658,3959,8.23,False,False,,9,3.5000000000000004
2022-01-10,Loblaws,Facial Tissue 3pk,2114,2354,11.37,False,False,,9,4.0
2022-01-10,Walmart CA,Bath Tissue 12pk,7360,8026,9.04,False,False,,24,3.0
2022-01-10,Walmart CA,Bath Tissue 24pk,10895,11233,3.1,False,False,,8,2.5
